name,score
Elias,8000
Tom,400
Jeroen,400
Tim,400
Elias,4000
Vera,4000
e,4000
r,4000
Elias,4000
Vera,4000
ze,4000
ez,4000
Elias,4000
Vera,4000
ez,4000
zer,4000
sdfsd,4000
sdf,4000
Elias,7000
Vera,1000
1,2000
2,2000
3,2000
4,0
5,2000
e,1000
r,0
t,3000
a,3000
d,1000
Elias,3000
Vera,5000
e,2000
w,6000
e,4000
r,4000
e,3000
r,5000
