name,score
Elias,400
Tom,400
Jeroen,400
Tim,400
KAPPA1,400
KAPPA2,400
e,400
r,400
e,400
r,400
Elias,500
qs,300
aze,400
zaeaze,400
Elias,400
Vera,400
Elias,400
Vera,400
E,400
ZE,400
e,400
r,400
